"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 30 20:21:33 GMT 2025","Mon Jun 30 20:21:33 GMT 2025","772","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/q/",""
"passed","Mon Jun 30 20:21:32 GMT 2025","Mon Jun 30 20:21:33 GMT 2025","951","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/gr/",""
"passed","Mon Jun 30 20:21:34 GMT 2025","Mon Jun 30 20:21:35 GMT 2025","763","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/dealers/",""
"failed","Mon Jun 30 20:27:17 GMT 2025","Mon Jun 30 20:27:19 GMT 2025","2479","tests","main_page_test","TestMainPageSmoke","","","Проверить поиск по кнопке ВЫБРАТЬ ДИЛЕРА",""
"passed","Mon Jun 30 20:21:40 GMT 2025","Mon Jun 30 20:21:40 GMT 2025","774","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/violations/",""
"passed","Mon Jun 30 20:28:02 GMT 2025","Mon Jun 30 20:28:02 GMT 2025","35","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение кнопок меню",""
"passed","Mon Jun 30 20:26:29 GMT 2025","Mon Jun 30 20:26:40 GMT 2025","11028","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/pkd/indicators/",""
"passed","Mon Jun 30 20:25:26 GMT 2025","Mon Jun 30 20:25:37 GMT 2025","11074","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/indicators/",""
"passed","Mon Jun 30 20:27:58 GMT 2025","Mon Jun 30 20:27:58 GMT 2025","39","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки ОТЧЕТЫ",""
"passed","Mon Jun 30 20:21:35 GMT 2025","Mon Jun 30 20:21:36 GMT 2025","775","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/users/",""
"passed","Mon Jun 30 20:27:48 GMT 2025","Mon Jun 30 20:27:48 GMT 2025","36","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки БУХГАЛТЕРИЯ",""
"passed","Mon Jun 30 20:27:29 GMT 2025","Mon Jun 30 20:27:29 GMT 2025","35","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки ПКД",""
"passed","Mon Jun 30 20:23:04 GMT 2025","Mon Jun 30 20:23:15 GMT 2025","10964","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/srr/",""
"passed","Mon Jun 30 20:21:39 GMT 2025","Mon Jun 30 20:21:40 GMT 2025","762","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/pkd/indicators/",""
"passed","Mon Jun 30 20:21:33 GMT 2025","Mon Jun 30 20:21:34 GMT 2025","750","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/staff/",""
"passed","Mon Jun 30 20:26:45 GMT 2025","Mon Jun 30 20:26:56 GMT 2025","11069","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/violations/",""
"passed","Mon Jun 30 20:22:17 GMT 2025","Mon Jun 30 20:22:28 GMT 2025","11049","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/reports/",""
"passed","Mon Jun 30 20:24:55 GMT 2025","Mon Jun 30 20:25:06 GMT 2025","11170","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/dealers/",""
"passed","Mon Jun 30 20:21:37 GMT 2025","Mon Jun 30 20:21:37 GMT 2025","795","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/uploads/",""
"passed","Mon Jun 30 20:21:00 GMT 2025","Mon Jun 30 20:21:04 GMT 2025","3568","tests","integrations_test","TestIntegrations","","","Получить данные качества прод MSPortal",""
"passed","Mon Jun 30 20:24:23 GMT 2025","Mon Jun 30 20:24:34 GMT 2025","11084","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/q/",""
"passed","Mon Jun 30 20:28:40 GMT 2025","Mon Jun 30 20:28:52 GMT 2025","11785","tests","srr_page_test","TestSRRPageSmoke","","","Проверить формирование отчета SRR на экране",""
"passed","Mon Jun 30 20:27:24 GMT 2025","Mon Jun 30 20:27:24 GMT 2025","36","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки ВЫБРАТЬ ДИЛЕРА",""
"passed","Mon Jun 30 20:27:34 GMT 2025","Mon Jun 30 20:27:34 GMT 2025","37","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки НАРУШЕНИЯ",""
"passed","Mon Jun 30 20:27:38 GMT 2025","Mon Jun 30 20:27:38 GMT 2025","37","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки ОБЪЯВЛЕНИЯ",""
"passed","Mon Jun 30 20:27:43 GMT 2025","Mon Jun 30 20:27:43 GMT 2025","36","tests","main_page_test","TestMainPageSmoke","","","Проверить отображение и кликабельность кнопки ДОКУМЕНТЫ",""
"passed","Mon Jun 30 20:20:56 GMT 2025","Mon Jun 30 20:20:58 GMT 2025","1839","tests","integrations_test","TestIntegrations","","","Проверка доступности MSPortal Test",""
"passed","Mon Jun 30 20:28:57 GMT 2025","Mon Jun 30 20:28:58 GMT 2025","1489","tests","srr_page_test","TestSRRPageSmoke","","","Проверить текст в модальном окне",""
"passed","Mon Jun 30 20:21:26 GMT 2025","Mon Jun 30 20:21:27 GMT 2025","750","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/logs/",""
"passed","Mon Jun 30 20:21:29 GMT 2025","Mon Jun 30 20:21:30 GMT 2025","1164","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/accounting/",""
"passed","Mon Jun 30 20:25:11 GMT 2025","Mon Jun 30 20:25:22 GMT 2025","11050","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/users/",""
