"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61064","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/pkd/indicators/","tests.ui_tests","Sun Nov 09 20:39:09 UTC 2025","passed","Sun Nov 09 20:40:10 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","861","Проверка доступности https://dealer-passport.vaz.ru/base/staff/?searchText=&page=0&openModal=&dateBegin=&selectedDate=&currentId=","tests.ui_tests","Sun Nov 09 20:20:19 UTC 2025","passed","Sun Nov 09 20:20:20 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1600","Проверить текст в модальном окне","tests.ui_tests","Sun Nov 09 20:48:04 UTC 2025","passed","Sun Nov 09 20:48:05 UTC 2025","TestSRRPageSmoke","srr_page_test","",""
"","61230","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/announcement/","tests.ui_tests","Sun Nov 09 20:42:27 UTC 2025","passed","Sun Nov 09 20:43:28 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","61084","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/staff/","tests.ui_tests","Sun Nov 09 20:32:32 UTC 2025","passed","Sun Nov 09 20:33:33 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","858","Проверка доступности https://dealer-passport.vaz.ru/accounting/","tests.ui_tests","Sun Nov 09 20:20:05 UTC 2025","passed","Sun Nov 09 20:20:06 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","61088","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/violations/","tests.ui_tests","Sun Nov 09 20:41:21 UTC 2025","passed","Sun Nov 09 20:42:22 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1074","Проверка доступности https://dealer-passport.vaz.ru/users/","tests.ui_tests","Sun Nov 09 20:20:12 UTC 2025","passed","Sun Nov 09 20:20:13 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","865","Проверка доступности https://dealer-passport.vaz.ru/violations/","tests.ui_tests","Sun Nov 09 20:20:18 UTC 2025","passed","Sun Nov 09 20:20:18 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1149","Проверка доступности https://dealer-passport.vaz.ru/editor/","tests.ui_tests","Sun Nov 09 20:19:59 UTC 2025","passed","Sun Nov 09 20:20:00 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1184","Получение данные качества тест MSPortal","tests.api_tests","Sun Nov 09 20:19:11 UTC 2025","passed","Sun Nov 09 20:19:12 UTC 2025","TestIntegrations","integrations_test","",""
"","859","Проверка доступности https://dealer-passport.vaz.ru/uploads/","tests.ui_tests","Sun Nov 09 20:20:14 UTC 2025","passed","Sun Nov 09 20:20:15 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1615","Проверить доступность меню в редакторе","tests.ui_tests","Sun Nov 09 20:19:56 UTC 2025","passed","Sun Nov 09 20:19:58 UTC 2025","TestEditorPage","editor_page_test","",""
"","74","Проверить отображение и кликабельность кнопки ОБЪЯВЛЕНИЯ","tests.ui_tests","Sun Nov 09 20:45:01 UTC 2025","passed","Sun Nov 09 20:45:01 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1079","Проверка доступности https://dealer-passport.vaz.ru/zd/","tests.ui_tests","Sun Nov 09 20:20:07 UTC 2025","passed","Sun Nov 09 20:20:08 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1361","Проверка доступности https://dealer-passport.vaz.ru","tests.ui_tests","Sun Nov 09 20:19:58 UTC 2025","passed","Sun Nov 09 20:19:59 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","838","Проверка доступности https://dealer-passport.vaz.ru/pkd/checklists/","tests.ui_tests","Sun Nov 09 20:20:17 UTC 2025","passed","Sun Nov 09 20:20:18 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","61008","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/editor/","tests.ui_tests","Sun Nov 09 20:21:31 UTC 2025","passed","Sun Nov 09 20:22:32 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","34","Проверить отображение кнопок меню","tests.ui_tests","Sun Nov 09 20:45:26 UTC 2025","passed","Sun Nov 09 20:45:27 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1056","Проверка доступности https://dealer-passport.vaz.ru/logs/email","tests.ui_tests","Sun Nov 09 20:20:03 UTC 2025","passed","Sun Nov 09 20:20:04 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","61000","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/zd/","tests.ui_tests","Sun Nov 09 20:29:14 UTC 2025","passed","Sun Nov 09 20:30:15 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1089","Проверка доступности https://dealer-passport.vaz.ru/reports/","tests.ui_tests","Sun Nov 09 20:20:00 UTC 2025","passed","Sun Nov 09 20:20:02 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","848","Проверить поиск по кнопке ВЫБРАТЬ ДИЛЕРА","tests.ui_tests","Sun Nov 09 20:44:40 UTC 2025","passed","Sun Nov 09 20:44:41 UTC 2025","TestMainPageSmoke","main_page_test","",""
"","1255","Проверка доступности MSPortal Prod","tests.api_tests","Sun Nov 09 20:19:09 UTC 2025","passed","Sun Nov 09 20:19:11 UTC 2025","TestIntegrations","integrations_test","",""
"","3046","Проверка доступности MSPortal Test","tests.api_tests","Sun Nov 09 20:19:06 UTC 2025","passed","Sun Nov 09 20:19:09 UTC 2025","TestIntegrations","integrations_test","",""
